HydrantID,ValveID,Valve Angle,Longitude,Latitude,Location 1
SMC6,,90,-118.47109447,34.01569133,"(34.01569133, -118.47109447)"
SMC1,,90,-118.46970793,34.01750442,"(34.01750442, -118.46970793)"
SMC2,,90,-118.47049201,34.01700036,"(34.01700036, -118.47049201)"
SMC3,,90,-118.47127079,34.01654934,"(34.01654934, -118.47127079)"
SMC5,,90,-118.47215577,34.01606084,"(34.01606084, -118.47215577)"
SMC4,,90,-118.47215403,34.01678246,"(34.01678246, -118.47215403)"
1512,17-136,0,-118.46920729,34.0263129,"(34.02631290, -118.46920729)"
1716,3-132,271,-118.49536376,34.01647292,"(34.01647292, -118.49536376)"
1670,3-133,270,-118.4959972,34.01701398,"(34.01701398, -118.49599720)"
1668,2-163,269,-118.49822189,34.0189206,"(34.01892060, -118.49822189)"
1227,1-1,283,-118.51602799,34.026233,"(34.02623300, -118.51602799)"
1613,24-9,257,-118.44508084,34.01646668,"(34.01646668, -118.44508084)"
1612,24-10,167,-118.44584636,34.01604613,"(34.01604613, -118.44584636)"
991,23-56,340,-118.46397773,34.03005622,"(34.03005622, -118.46397773)"
683,14-128,180,-118.47491987,34.01974903,"(34.01974903, -118.47491987)"
684,14-89,270,-118.47620929,34.02060498,"(34.02060498, -118.47620929)"
1658,14-162,270,-118.47392089,34.01864707,"(34.01864707, -118.47392089)"
428,12-78,90,-118.48574584,34.02654919,"(34.02654919, -118.48574584)"
1344,3-111,0,-118.49552689,34.01602834,"(34.01602834, -118.49552689)"
586,11-179,1,-118.49381926,34.03557135,"(34.03557135, -118.49381926)"
130,4-174,176,-118.48583266,34.00546202,"(34.00546202, -118.48583266)"
651,14-7,180,-118.47513428,34.02429381,"(34.02429381, -118.47513428)"
653,14-9,90,-118.47598399,34.02373262,"(34.02373262, -118.47598399)"
23,4-222,176,-118.4880403,34.00519657,"(34.00519657, -118.48804030)"
1294,2-9,272,-118.50480183,34.01861952,"(34.01861952, -118.50480183)"
